"year","weights","gender","educ","urban","income_int_dol","income_quint","WORRIED","HEALTHY","FEWFOOD","SKIPPED","ATELESS","RUNOUT","HUNGRY","WHLDAY","HH_size","employment","hours_work","WP23","WP60","WP68","WP69","WP70","WP16","WP18","WP61","WP63","WP65","WP67"
2017,0.625434392095801,2,2,4,1343.46349049286,2,1,0,0,0,0,0,0,0,4,NA,NA,2,1,2,2,2,6,9,1,2,2,2
2017,0.671023329805742,1,2,4,5373.85396197143,5,1,1,1,1,1,1,1,1,2,2,NA,1,1,1,1,1,1,1,1,2,2,2
2017,2.16343444737728,1,1,4,2456.61895404408,4,0,0,0,0,0,0,0,0,7,1,1,2,1,2,2,2,7,7,1,1,2,1
2017,1.53954075559077,1,3,4,5373.85396197143,5,0,0,0,0,0,0,0,0,4,1,5,2,1,2,2,2,7,9,1,1,2,1
2017,0.253009176166943,1,2,4,3009.358218704,4,0,1,1,0,1,0,1,0,1,NA,NA,2,1,2,2,1,1,1,1,1,2,1
2017,2.16343444737728,1,1,4,2388.37953865397,4,0,0,1,1,1,1,1,0,9,2,NA,2,2,2,2,2,1,11,2,2,1,2
2017,1.51233915936067,2,1,4,1375.70661426469,2,1,1,1,0,1,0,0,0,5,1,3,2,1,2,2,2,5,7,1,1,1,1
2017,0.671023329805742,1,2,4,2471.97282250686,4,1,1,1,1,1,1,1,1,2,2,NA,1,2,1,1,1,1,1,2,2,2,2
2017,2.16343444737728,1,1,4,716.51386159619,1,1,1,1,1,1,1,1,1,6,2,NA,2,1,2,2,2,11,11,1,1,1,1
2017,1.32453882624613,2,1,3,1848.60576291817,3,0,0,0,0,0,0,0,0,5,NA,NA,1,2,1,1,2,2,2,1,2,2,2
2017,0.794723295747679,2,1,3,2149.54158478857,3,1,1,1,0,1,1,1,0,3,NA,NA,1,1,1,1,1,12,3,1,2,2,2
2017,1.26504588083471,1,2,3,2456.61895404408,4,0,0,0,0,0,0,0,0,7,1,5,2,1,2,2,2,9,11,1,1,2,1
2017,1.0895818629283,2,2,3,859.816633915428,2,0,1,1,0,1,0,0,0,5,2,NA,2,1,2,2,2,6,4,1,1,2,1
2017,0.790549147254806,1,2,3,3224.31237718286,4,0,0,0,0,0,0,0,0,2,1,1,2,1,2,2,2,8,9,1,1,1,1
2017,0.702580410015022,2,1,3,1612.15618859143,3,1,1,1,0,1,0,1,0,2,NA,NA,1,2,1,1,2,8,12,1,1,2,1
2017,0.815722511437543,1,1,3,2686.92698098571,4,0,0,0,0,0,0,0,0,2,NA,NA,2,1,2,1,2,6,6,1,3,2,1
2017,1.05387061502253,2,1,3,1218.07356471352,2,0,1,1,0,1,1,0,0,3,1,1,1,2,1,1,1,12,12,1,1,1,1
2017,1.14864792006474,2,2,3,2149.54158478857,3,1,1,1,1,1,1,1,0,6,1,4,2,2,2,2,2,6,7,1,1,1,1
2017,0.435832745171319,2,2,3,1612.15618859143,3,1,1,1,0,1,0,0,0,2,NA,NA,1,2,1,1,1,1,4,2,2,2,2
2017,1.02693062889677,2,2,4,1791.28465399048,3,0,1,1,0,0,0,0,0,6,1,4,2,1,2,2,2,6,7,1,2,1,1
2017,1.00822610624045,2,1,4,859.816633915428,2,1,1,1,1,1,1,0,0,5,1,5,2,2,1,1,2,6,8,1,2,2,2
2017,0.759027528500828,1,2,4,1612.15618859143,3,1,1,1,0,0,0,0,0,4,1,1,2,1,2,2,2,4,4,1,1,2,1
2017,1.34204665961148,1,2,4,859.816633915428,2,1,1,1,0,0,1,0,0,5,NA,NA,2,1,2,2,2,5,5,1,1,1,1
2017,0.815722511437543,1,1,4,4299.08316957714,5,0,0,1,0,0,0,0,0,3,NA,NA,2,1,2,2,2,8,7,1,1,2,1
2017,1.65545464470244,2,1,4,1612.15618859143,3,0,0,0,0,0,0,0,0,4,1,4,2,1,2,2,2,11,11,1,1,1,1
2017,1.32453882624613,2,1,4,2866.05544638476,4,1,1,1,0,0,0,0,0,6,NA,NA,1,1,1,2,2,6,11,1,1,2,1
2017,1.18582372088221,1,2,4,3582.56930798095,5,0,0,0,0,0,0,0,0,3,1,4,2,2,2,2,2,6,8,1,1,1,1
2017,2.16343444737728,1,2,4,924.302881459085,2,0,0,0,0,0,0,0,0,10,1,4,2,2,2,2,2,8,9,4,2,2,2
2017,2.16343444737728,2,1,4,1361.37633703276,2,1,1,1,1,0,1,1,1,6,1,5,2,2,3,2,2,12,6,1,1,1,1
2017,1.91159688034792,1,1,4,2686.92698098571,4,0,0,0,0,0,0,0,0,4,1,5,2,1,2,2,2,4,8,1,1,2,1
2017,0.435832745171319,2,2,4,2794.40406022514,4,0,0,1,1,1,1,0,0,2,1,5,1,1,1,1,2,5,5,1,1,2,1
2017,0.871665490342638,2,2,4,2149.54158478857,3,1,0,0,0,0,0,0,0,4,NA,NA,1,1,2,1,2,4,7,1,2,2,1
2017,0.925833975972551,2,1,4,2149.54158478857,3,0,0,1,0,0,0,0,0,4,NA,NA,1,2,1,2,2,6,9,1,1,2,1
2017,1.14864792006474,2,2,4,2507.79851558667,4,0,1,1,0,0,0,0,0,6,NA,NA,2,2,2,2,2,6,8,1,2,2,2
2017,0.962940653287041,1,2,3,1880.84888669,3,0,1,NA,0,1,0,0,0,4,1,2,2,2,2,2,2,6,6,1,2,2,1
2017,0.435832745171319,2,2,3,4728.99148653486,5,0,0,0,0,0,0,0,0,2,NA,NA,1,1,1,2,2,11,12,1,1,2,1
2017,0.435832745171319,2,2,3,2149.54158478857,3,0,1,0,0,0,0,0,0,2,NA,NA,1,2,1,1,2,6,8,1,2,2,2
2017,1.51233915936067,2,1,3,3582.56930798095,5,0,0,0,0,0,0,0,0,3,NA,NA,2,1,2,2,2,6,6,1,1,2,1
2017,0.999938815847874,2,3,3,8060.78094295714,5,1,1,1,0,0,0,0,0,4,1,5,2,2,1,2,2,6,9,1,1,2,2
2017,1.58109829450961,1,2,3,6448.62475436571,5,0,0,0,0,0,0,0,0,4,NA,NA,2,2,1,1,1,7,9,1,2,2,1
2017,1.40516082003004,2,1,3,1343.46349049286,2,1,1,1,1,1,1,1,1,4,2,NA,1,2,1,1,1,1,11,1,2,2,1
2017,1.05387061502253,2,1,3,2149.54158478857,3,1,1,1,1,1,1,1,0,3,1,4,2,2,1,1,1,1,6,1,2,2,2
2017,1.65545464470244,2,1,3,2149.54158478857,3,0,0,0,0,0,0,0,0,4,NA,NA,2,1,2,2,2,9,11,1,1,2,1
2017,1.2508687841916,2,2,3,1612.15618859143,3,0,0,0,0,0,0,0,0,8,1,4,2,1,2,2,2,6,9,1,1,1,1
2017,1.08171735925727,1,1,3,1576.33049551162,3,1,1,1,1,1,1,1,1,6,2,NA,1,1,1,1,1,1,1,1,1,2,2
2017,2.1381695304704,1,1,3,197.041311938952,1,1,1,1,1,1,1,1,1,6,NA,NA,2,1,1,2,1,1,6,1,2,2,2
2017,0.815722511437543,1,1,3,725.470284866143,2,1,1,1,1,1,1,1,1,2,NA,NA,1,2,1,1,1,1,12,1,2,2,2
2017,1.38875096395883,2,1,3,2149.54158478857,3,1,1,1,1,1,1,1,1,5,NA,NA,2,2,1,1,1,6,7,1,2,2,2
2017,2.16343444737728,2,1,3,515.889980349257,1,1,1,1,1,1,1,1,1,10,NA,NA,1,1,1,1,1,1,12,1,1,2,2
2017,2.16343444737728,1,1,3,179.128465399048,1,1,1,1,1,1,1,1,1,6,1,1,1,2,1,1,1,1,5,1,2,2,2
2017,2.1381695304704,1,1,3,716.51386159619,1,0,0,1,0,0,0,0,0,3,1,5,2,1,2,2,2,5,12,1,1,2,1
2017,1.05387061502253,2,1,3,1934.58742630971,3,1,1,1,0,0,0,0,0,3,1,1,1,1,2,2,2,7,7,1,1,2,1
2017,1.51233915936067,2,1,3,245.047740665897,1,1,1,1,1,1,1,1,1,5,NA,NA,1,1,1,1,1,7,9,1,1,2,1
2017,0.925833975972551,2,1,3,1289.72495087314,2,1,1,1,1,0,1,1,1,5,NA,NA,1,2,2,1,1,1,12,1,2,2,2
2017,1.8516679519451,2,1,3,2149.54158478857,3,0,0,0,0,0,0,0,0,6,1,4,2,1,2,2,2,7,9,1,1,1,1
2017,1.92588130657408,1,2,3,1289.72495087314,2,1,1,1,1,1,1,1,0,5,2,NA,2,1,1,1,1,6,9,1,1,2,2
2017,1.97637286813702,1,2,3,3582.56930798095,5,0,0,0,0,0,0,0,0,6,NA,NA,2,1,2,2,2,4,9,1,1,2,1
